Question,Option A,Option B,Option C,Option D,Correct Answer,Detailed Answer in English,Detailed Answer in Hindi
"What should Loco Pilot do when an Automatic Stop signal is passed at 'ON'? / जब ‘ON’ पर स्वचालित स्टॉप सिग्नल पार किया जाए, तो लोको पायलट को क्या करना चाहिए?",Stop immediately,Run at full speed,Proceed with caution until next Stop signal,Reverse the train,Proceed with caution until next Stop signal,"After passing ‘ON’ signal, Loco Pilot must proceed cautiously up to next stop signal (GR 9.02).","GR 9.02 के अनुसार, ‘ON’ सिग्नल पार करने के बाद, लोको पायलट को अगले सिग्नल तक सावधानीपूर्वक चलना चाहिए।"
"What should be done if a signal is displaying multiple aspects at once? / यदि कोई सिग्नल एक साथ कई संकेत दिखा रहा हो, तो क्या किया जाना चाहिए?",Ignore and proceed,Obey the most restrictive aspect,Wait until signal becomes clear,Proceed with full speed,Obey the most restrictive aspect,SR 9.11.05 mandates obeying the most restrictive aspect when multiple aspects are shown.,"SR 9.11.05 के अनुसार, यदि सिग्नल कई संकेत दिखा रहा हो, तो सबसे प्रतिबंधात्मक संकेत का पालन किया जाना चाहिए।"
What is the adequate distance beyond the Home signal on single line for taking Home signal ‘OFF’? / सिंगल लाइन में होम सिग्नल को ‘OFF’ करने के लिए आवश्यक न्यूनतम दूरी कितनी होनी चाहिए?,100 m,180 m,120 m,75 m,120 m,GR 9.06(3) states that distance beyond starter for home signal shall not be less than 120 meters.,"GR 9.06(3) के अनुसार, होम सिग्नल को 'OFF' करने के लिए स्टार्टर के आगे कम से कम 120 मीटर दूरी होनी चाहिए।"
"What action must be taken if telephone communication at a signal is out of order? / यदि सिग्नल पर टेलीफोन संपर्क काम नहीं कर रहा हो, तो क्या करना चाहिए?",Proceed after giving code whistle and signal exchange,Wait indefinitely,Return to previous station,Send assistant to station,Proceed after giving code whistle and signal exchange,"If no communication, Loco Pilot shall give code whistle, exchange signals, and proceed with caution.","यदि संचार व्यवस्था काम न कर रही हो, तो लोको पायलट को कोड सीटी देकर, सिग्नल बदल कर सावधानी से आगे बढ़ना होता है।"
"In absence of communication,how long should be the interval between two trains in failure section? / संचार नहीं होने पर दो ट्रेनों के बीच न्यूनतम अंतराल कितना होना चाहिए?",10 minutes,20 minutes,25 minutes,15 minutes,15 minutes,SR 9.12.02(d) prescribes a 15-minute interval between trains during failure without communication.,"SR 9.12.02(d) के अनुसार, बिना संचार व्यवस्था के विफलता में ट्रेनों के बीच 15 मिनट का अंतराल होना चाहिए।"
"In fog or dust storm,how should a Loco Pilot proceed if visibility is poor? / कोहरा या धूल भरी आंधी में दृश्यता खराब होने पर लोको पायलट को कैसे आगे बढ़ना चाहिए?",Proceed at 30 km/h,Wait until visibility clears,Proceed at very slow speed not exceeding 10 km/h,Ask Guard to proceed alone,Proceed at very slow speed not exceeding 10 km/h,"As per GR 9.02(3), speed must not exceed 10 km/h in poor visibility conditions.","GR 9.02(3) के अनुसार, दृश्यता कम होने पर गति 10 किमी/घंटा से अधिक नहीं होनी चाहिए।"
"In single line Automatic Block System, who gives permission to Loco Pilot if signal remains at ‘ON’? / सिंगल लाइन ऑटोमैटिक सिस्टम में यदि सिग्नल 'ON' पर रहे तो लोको पायलट को अनुमति कौन देता है?",Guard,Controller,Station Master or CTC Operator,Pointsman,Station Master or CTC Operator,GR 9.07(2) allows SM or CTC to authorize movement if signal is ‘ON’.,"GR 9.07(2) के अनुसार, यदि सिग्नल 'ON' पर रहे तो SM या CTC ऑपरेटर अनुमति दे सकते हैं।"
What is the minimum signal equipment on single line under ABS? / ABS के अंतर्गत सिंगल लाइन में न्यूनतम सिग्नल उपकरण कौन-कौन से होते हैं?,Only Home,Only Starter,"Home, Starter & one Automatic Stop Signal",Two Automatic Signals,"Home, Starter & one Automatic Stop Signal","GR 9.04(a)(b) mandates Home, Starter, and one Automatic Stop Signal in rear.","GR 9.04(a)(b) के अनुसार, न्यूनतम सिग्नल होम, स्टार्टर और एक ऑटोमैटिक स्टॉप सिग्नल होना चाहिए।"
"In double line ABS,what must be done before granting Line Clear during failure? / डबल लाइन ABS में सिग्नल विफलता के दौरान लाइन क्लियर देने से पहले क्या सुनिश्चित किया जाना चाहिए?",Previous train cleared section,All points and signals are correct,Line is clear for 180 meters beyond starter,All of the above,All of the above,SR 9.12.01(d) requires all these conditions before Line Clear is given.,"SR 9.12.01(d) के अनुसार, लाइन क्लियर देने से पहले सभी बातें सुनिश्चित की जाती हैं।"
"In automatic block system, who is responsible to report signal failure to signal officials? / ऑटोमैटिक ब्लॉक सिस्टम में सिग्नल विफलता की रिपोर्ट सिग्नल अधिकारियों को कौन देता है?",Controller,Guard,Loco Pilot,Station Master,Station Master,GR 9.11(2) specifies Station Master must report to signal and operating officials.,"GR 9.11(2) के अनुसार, स्टेशन मास्टर को सिग्नल और ऑपरेटिंग अधिकारियों को सूचित करना होता है।"
In which condition shall a Loco Pilot seek help from Guard for lookout ahead? / किस स्थिति में लोको पायलट को सामने देखने के लिए गार्ड की मदद लेनी चाहिए?,"Always, after passing every signal / हर सिग्नल के बाद हमेशा",During poor visibility and no Assistant Loco Pilot / कम दृश्यता और सहायक लोको पायलट न होने पर,Only at stations / केवल स्टेशनों पर,Never / कभी नहीं,During poor visibility and no Assistant Loco Pilot / कम दृश्यता और सहायक लोको पायलट न होने पर,"GR 9.02(3) and 9.07(5) mention that in fog, curve or poor visibility, Guard may assist Loco Pilot if no ALP is present.","GR 9.02(3) और 9.07(5) के अनुसार, धुंध, वक्र या दृश्यता कम होने पर यदि सहायक लोको पायलट नहीं है, तो गार्ड मदद कर सकता है।"
What distance is considered adequate beyond a stop signal for granting Line Clear in ABS (Single Line)? / ABS (सिंगल लाइन) में लाइन क्लियर देने के लिए स्टॉप सिग्नल के आगे कितनी दूरी पर्याप्त मानी जाती है?,180 meters / 180 मीटर,120 meters / 120 मीटर,75 meters / 75 मीटर,60 meters / 60 मीटर,180 meters / 180 मीटर,GR 9.03(2) defines adequate distance beyond stop signal as not less than 180 meters.,"GR 9.03(2) के अनुसार, स्टॉप सिग्नल के आगे न्यूनतम 180 मीटर की दूरी पर्याप्त मानी जाती है।"
What does glowing ‘AG’ sign at a level crossing indicate? / लेवल क्रॉसिंग पर ‘AG’ संकेत के जलने का क्या अर्थ है?,Gate is closed to road traffic / गेट सड़क यातायात के लिए बंद है,Gate is open or failed but points are correctly set / गेट खुला या फेल है पर पॉइंट सही सेट है,Proceed at full speed / पूरी गति से आगे बढ़ें,Stop immediately / तुरंत रुकें,Gate is open or failed but points are correctly set / गेट खुला या फेल है पर पॉइंट सही सेट है,"As per SR 9.14.01(c), ‘AG’ glows when gate is open to traffic or failed, but route is correctly set and locked.","SR 9.14.01(c) के अनुसार, ‘AG’ तब जलता है जब गेट सड़क के लिए खुला हो या फेल हो, परंतु मार्ग सही सेट और लॉक हो।"
What is the role of Station Master during signal failure on ABS (Double Line)? / ABS (डबल लाइन) में सिग्नल फेल होने पर स्टेशन मास्टर की क्या भूमिका होती है?,Do nothing / कुछ न करें,Inform controller and issue T/A-912 authority / कंट्रोलर को सूचित कर T/A-912 जारी करें,Inform Guard only / केवल गार्ड को सूचित करें,Wait for signal maintainer only / केवल सिग्नल मैंटेनर का इंतज़ार करें,Inform controller and issue T/A-912 authority / कंट्रोलर को सूचित कर T/A-912 जारी करें,SR 9.12.01(b)(e) requires Station Master to inform the controller and issue authority to proceed.,"SR 9.12.01(b)(e) के अनुसार, स्टेशन मास्टर को कंट्रोलर को सूचना देनी चाहिए और T/A-912 प्राधिकृति जारी करनी चाहिए।"
"What happens if Automatic Stop signal remains ON due to failure and communication is not available? / यदि स्वचालित स्टॉप सिग्नल ON पर हो और संचार उपलब्ध न हो, तो क्या किया जाता है?",Cancel the train / ट्रेन रद्द कर दें,Proceed after 5 minutes with caution / 5 मिनट बाद सावधानी से आगे बढ़ें,Return to origin station / मूल स्टेशन लौटें,Wait for green signal / हरा सिग्नल आने तक प्रतीक्षा करें,Proceed after 5 minutes with caution / 5 मिनट बाद सावधानी से आगे बढ़ें,GR 9.07(3) allows proceeding after giving code whistle and waiting period in absence of communication.,"GR 9.07(3) के अनुसार, बिना संचार के स्थिति में, निर्धारित प्रतीक्षा और सीटी देने के बाद ट्रेन आगे बढ़ सकती है।"
What must be done before taking OFF a Home signal in ABS (Single Line)? / ABS (सिंगल लाइन) में होम सिग्नल को OFF करने से पहले क्या करना आवश्यक है?,Confirm route is clear up to starter and 120 m beyond / सुनिश्चित करें कि रूट स्टार्टर और 120 मीटर आगे तक साफ हो,Ensure points are locked / पॉइंट लॉक होना चाहिए,Wait for T/A-912 / T/A-912 का इंतज़ार करें,None of these / इनमें से कोई नहीं,Confirm route is clear up to starter and 120 m beyond / सुनिश्चित करें कि रूट स्टार्टर और 120 मीटर आगे तक साफ हो,GR 9.06(1) mandates that Home signal shall not be taken OFF unless line is clear beyond Starter by 120m.,"GR 9.06(1) के अनुसार, होम सिग्नल तभी OFF किया जा सकता है जब लाइन स्टार्टर और उससे आगे 120 मीटर तक साफ हो।"
Who is authorized to pilot train out if the last stop signal is defective in ABS (Double Line)? / यदि अंतिम स्टॉप सिग्नल खराब हो तो ABS (डबल लाइन) में ट्रेन को बाहर पायलट करने की अनुमति किसे है?,Guard,Loco Pilot,Station Master using T/A-912,Signal Maintainer,Station Master using T/A-912,SR 9.14.01(b) authorizes piloting out using T/A-912 when last signal is defective.,"SR 9.14.01(b) के अनुसार, अंतिम सिग्नल के खराब होने पर T/A-912 द्वारा स्टेशन मास्टर पायलटिंग कर सकते हैं।"
What document must the Guard maintain after passing a signal at ON? / ON सिग्नल पार करने के बाद गार्ड को कौन सी जानकारी संधारित करनी होती है?,Ticket number,Speed chart,Time of next signal passed,Engine number,Time of next signal passed,SR 9.11.04 states Guard must record time of passing the next signal after crossing ON signal.,"SR 9.11.04 के अनुसार, गार्ड को ON सिग्नल पार करने के बाद अगला सिग्नल पार करने का समय दर्ज करना होता है।"
What minimum speed restriction is applied over curves or poor visibility during signal failure? / सिग्नल फेल होने पर वक्र या दृश्यता खराब होने पर न्यूनतम गति सीमा क्या होती है?,25 km/h,15 km/h,10 km/h,5 km/h,10 km/h,"SR 9.12.02(b)(3) mentions 10 km/h near curves, tunnels, fog, etc.","SR 9.12.02(b)(3) के अनुसार, मोड़, सुरंग, कोहरा आदि के पास गति सीमा 10 किमी/घंटा होनी चाहिए।"
"What should be done when Loco Pilot passes defective Semi-Automatic signal acting as Manual Stop signal? / जब सेमी-ऑटोमैटिक सिग्नल जो मैनुअल की तरह काम कर रहा है खराब हो जाए, तो लोको पायलट को क्या करना चाहिए?",Wait for 15 minutes,Pass on verbal order,Pass with T/A-912 authority,Do not move the train,Pass with T/A-912 authority,SR 9.14.01(a)(b) allows passing such signals using written authority T/A-912.,"SR 9.14.01(a)(b) के अनुसार, ऐसे सिग्नल को लिखित अनुमति T/A-912 के साथ पार किया जा सकता है।"
"In the absence of communication, what is used to acknowledge clearance of section? / जब संचार उपलब्ध न हो, तब खंड के खाली होने की पुष्टि कैसे की जाती है?",Signal Lamp,Line Clear Ticket,Private Number,Red Flag,Private Number,"As per SR 9.12.02(k), Private Number is exchanged to confirm clearance during communication failure.","SR 9.12.02(k) के अनुसार, संचार विफलता के समय खंड की पुष्टि के लिए प्राइवेट नंबर का आदान-प्रदान किया जाता है।"
"In case of obstruction on one line of double line, how are trains worked? / डबल लाइन के एक ट्रैक पर बाधा आने पर ट्रेनों का संचालन कैसे किया जाता है?",Cancelled till clearance,On same line with single line working,With high speed,Only in night,On same line with single line working,"SR 9.12.03(b) states that in case of obstruction, temporary single line working is introduced.","SR 9.12.03(b) के अनुसार, बाधा आने पर अस्थायी सिंगल लाइन संचालन शुरू किया जाता है।"
What form is used for Relief Train/Engine authority into ABS section? / ABS सेक्शन में राहत ट्रेन या इंजन को प्रवेश की अनुमति के लिए कौन सा फॉर्म प्रयोग होता है?,T/B-912,T/C-912,T-1425,T/A-602,T/C-912,SR 9.12.08 prescribes form T/C-912 for Relief Engine/Train into ABS.,"SR 9.12.08 के अनुसार, ABS में राहत ट्रेन या इंजन को प्रवेश देने हेतु T/C-912 फॉर्म प्रयोग होता है।"
Which of the following is NOT a valid communication mode in ABS territory? / निम्न में से कौन सा ABS क्षेत्र में मान्य संचार माध्यम नहीं है?,Station to station fixed telephone,BSNL phone,Controller line,WhatsApp call,WhatsApp call,"GR and SR list approved communication methods like fixed phones, control phone, but not mobile apps.",GR और SR के अनुसार अनुमोदित संचार में मोबाइल ऐप (जैसे WhatsApp) शामिल नहीं है।
"Which rule describes procedure for trains during failure of all signals in ABS when communication is also lost? / जब सभी सिग्नल और संचार दोनों फेल हो जाएं, तो किस नियम में ट्रेन संचालन की प्रक्रिया दी गई है?",SR 9.12.01,SR 9.12.02,GR 4.44,SR 3.68.01,SR 9.12.02,SR 9.12.02 deals with train working procedure during total failure of signals and communication.,SR 9.12.02 में सिग्नल और संचार दोनों के विफल होने पर ट्रेन संचालन की प्रक्रिया दी गई है।
What authority must be handed over by Loco Pilot after passing affected section during failure? / सिग्नल फेल खंड पार करने के बाद लोको पायलट को कौन सा प्राधिकरण सौंपना होता है?,Duty slip,Brake power certificate,Authority to proceed without line clear,Pass slip,Authority to proceed without line clear,SR 9.12.02(h) mandates LP must handover “Authority to proceed without Line Clear” to SM.,"SR 9.12.02(h) के अनुसार, लोको पायलट को यह प्राधिकरण स्टेशन मास्टर को सौंपना होता है।"
What must a Loco Pilot do before crossing level crossing gate during failure? / सिग्नल फेल के दौरान गेट क्रॉसिंग करने से पहले लोको पायलट को क्या करना होता है?,Sound horn and proceed,Wait for 10 minutes,Ascertain gate is locked and hand signal shown by gateman,Proceed without stopping,Ascertain gate is locked and hand signal shown by gateman,"As per SR 9.12.02(b)(2), LP must ensure gates are locked and hand signal is shown.","SR 9.12.02(b)(2) के अनुसार, लोको पायलट को सुनिश्चित करना होता है कि गेट बंद है और गेटमैन हेंड सिग्नल दे रहा है।"
How is first train to be received at station during signal failure? / सिग्नल फेल होने पर पहली ट्रेन को स्टेशन पर कैसे लिया जाता है?,Normally with all signals OFF,Piloted or reception signal OFF after ensuring safety,With green flag,On verbal order,Piloted or reception signal OFF after ensuring safety,SR 9.12.01(h) – train must be received only after safety is ensured with proper signals/pilot.,"SR 9.12.01(h) के अनुसार, सुरक्षा सुनिश्चित करने के बाद ही ट्रेन को पायलट करके या सिग्नल OFF करके लिया जाता है।"
"In temporary single line working, who authorizes first train to stop and inform all staff on track? / अस्थायी सिंगल लाइन संचालन में पहली ट्रेन को ट्रैक पर सभी कर्मचारियों को सूचित करने की अनुमति कौन देता है?",Guard,Loco Pilot,Station Master (by endorsing caution order),Controller,Station Master (by endorsing caution order),SR 9.12.03(l) – SM endorses caution order for LP to stop and inform Gatemen/Gangmen/Keymen.,"SR 9.12.03(l) के अनुसार, स्टेशन मास्टर सतर्कता आदेश में यह निर्देश देता है कि लोको पायलट सभी कर्मचारियों को सूचित करे।"
What must be used along with Line Clear message in ABS (Single Line) panel failure with communication? / ABS (सिंगल लाइन) पैनल विफलता और संचार उपलब्ध होने की स्थिति में लाइन क्लियर संदेश के साथ क्या प्रयोग होता है?,Block bell,Guard’s logbook,Private and Identification Numbers,Whistle code,Private and Identification Numbers,SR 9.12.07 – Private Number and Identification Number must both be used for line clear exchange.,"SR 9.12.07 के अनुसार, लाइन क्लियर के लिए प्राइवेट नंबर और पहचान संख्या दोनों का उपयोग आवश्यक है।"
"In ABS territory, movement of trains against established direction is allowed only— / ABS क्षेत्र में निर्धारित दिशा के विपरीत ट्रेनों की आवाजाही कब अनुमति प्राप्त होती है?",With pilot guard,Under normal condition,In emergency with special instructions,During fog only,In emergency with special instructions,GR 9.13 says movement against established direction is allowed only in emergencies under special instructions.,"GR 9.13 के अनुसार, आपात स्थिति में विशेष निर्देशों के तहत ही विपरीत दिशा में ट्रेन चलाई जा सकती है।"
Who maintains register of signals passed at ‘ON’ in Control Office? / कंट्रोल ऑफिस में ‘ON’ पर पास किए गए सिग्नलों का रजिस्टर कौन रखता है?,Loco Pilot,Station Master,Operating Officers,Control Office,Control Office,SR 9.11.04 specifies that such a register is maintained in the Control Office for scrutiny.,"SR 9.11.04 के अनुसार, कंट्रोल ऑफिस में इन प्रविष्टियों का विशेष रजिस्टर रखा जाता है।"
What is the role of Signal Maintainer after rectifying signal failure? / सिग्नल में खराबी ठीक करने के बाद सिग्नल मेंटेनर की भूमिका क्या है?,Issue caution order,Inform Loco Pilot,Inform Station Master who informs all concerned,Do nothing,Inform Station Master who informs all concerned,"SR 9.11.03 states Signal Maintainer informs SM, who further notifies Controller and others.","SR 9.11.03 के अनुसार, सिग्नल मेंटेनर SM को सूचित करता है जो कंट्रोलर और अन्य को जानकारी देता है।"
"Which rule applies when Semi-Automatic signal shows multiple aspects? / जब सेमी-ऑटोमैटिक सिग्नल कई संकेत दिखाता है, तो कौन सा नियम लागू होता है?",SR 9.11.01,SR 9.11.05,GR 3.08,GR 4.45,SR 9.11.05,SR 9.11.05 directs to obey most restrictive aspect and report to SM if multiple aspects appear.,"SR 9.11.05 के अनुसार, सबसे प्रतिबंधात्मक संकेत का पालन किया जाना चाहिए और SM को रिपोर्ट करना चाहिए।"
What is required for piloting train over defective Manual Stop signal in ABS? / ABS में दोषपूर्ण मैनुअल स्टॉप सिग्नल पर ट्रेन चलाने के लिए क्या आवश्यक है?,T-369(3b),Verbal instruction,T/A-912,No authority needed,T/A-912,SR 9.14.01(b) states that T/A-912 is issued when Manual Stop signal is defective.,"SR 9.14.01(b) के अनुसार, दोषपूर्ण मैनुअल स्टॉप सिग्नल के लिए T/A-912 जारी किया जाता है।"
Who initiates cancellation of temporary working when signals are restored? / जब सिग्नल ठीक हो जाते हैं तो अस्थायी संचालन रद्द करने की पहल कौन करता है?,Loco Pilot,Station Master with Private Number message,Guard,Controller only,Station Master with Private Number message,SR 9.12.02(k) & (l) say cancellation initiated by SM using Private Number.,"SR 9.12.02(k) और (l) के अनुसार, SM प्राइवेट नंबर संदेश से रद्दीकरण की प्रक्रिया शुरू करता है।"
When must a train be protected with detonators in ABS during obstruction? / ABS में बाधा आने पर ट्रेन को डेटोनेटर से कब संरक्षित किया जाना चाहिए?,Always,When train cannot proceed,At every signal,During shunting only,When train cannot proceed,GR 9.10(2) mandates protection using detonators when train cannot proceed due to obstruction.,"GR 9.10(2) के अनुसार, अगर ट्रेन बाधा के कारण आगे नहीं जा सकती तो डेटोनेटर से सुरक्षा अनिवार्य है।"
In which case does the Guard give “Stop” hand signal toward the rear? / किस स्थिति में गार्ड पीछे की ओर 'स्टॉप' हेंड सिग्नल देता है?,While departing,While reversing,When train stops at Automatic Stop signal,During fog,When train stops at Automatic Stop signal,GR 9.02(2) & 9.07(4) state Guard must show Stop signal when train halts at an Automatic Stop signal.,"GR 9.02(2) और 9.07(4) के अनुसार, ट्रेन जब ऑटोमैटिक स्टॉप सिग्नल पर रुकती है, तब गार्ड पीछे 'स्टॉप' सिग्नल दिखाता है।"
"In dense fog, MEMU train must maintain visual of what to proceed safely? / घने कोहरे में MEMU ट्रेन को सुरक्षित रूप से चलने के लिए किसका दृश्य बनाए रखना होता है?",Station board,Signal number,Flashing tail lamp of train ahead,Point indicator,Flashing tail lamp of train ahead,SR 9.02.01(b)(i) specifies tail lamp or obstruction must be visible to proceed.,"SR 9.02.01(b)(i) के अनुसार, ट्रेन को तभी बढ़ना चाहिए जब अगली ट्रेन की टेल लैंप या कोई अवरोध दिखाई दे।"
"When train is pushing and signal is ON with no visibility, how should LP proceed? / अगर ट्रेन पीछे से धकेली जा रही हो और सिग्नल 'ON' हो व दृश्यता न हो, तो लोको पायलट को कैसे चलाना चाहिए?",At max 25 km/h,As per Assistant LP,At very slow speed not exceeding 10 km/h,At normal speed,At very slow speed not exceeding 10 km/h,"GR 9.02(3) – in poor visibility or when pushing, train must proceed not exceeding 10 km/h.","GR 9.02(3) के अनुसार, दृश्यता कम होने या ट्रेन को धकेले जाने की स्थिति में गति 10 किमी/घंटा से अधिक नहीं होनी चाहिए।"
When can a train pass a defective Automatic Stop signal without any written authority? / कब ट्रेन एक दोषपूर्ण स्वचालित स्टॉप सिग्नल को बिना किसी लिखित प्राधिकरण के पार कर सकती है?,Never / कभी नहीं,If signal is flickering,After observing prescribed waiting time,All of the above / उपरोक्त सभी,All of the above / उपरोक्त सभी,"As per GR 9.02 and SR 9.02.02, if the signal is flickering or remains at 'ON', the Loco Pilot may pass it after observing the waiting time, without needing a written authority.","GR 9.02 और SR 9.02.02 के अनुसार, यदि सिग्नल झिलमिलाता है या 'ON' स्थिति में रहता है, तो निर्धारित प्रतीक्षा अवधि के बाद बिना किसी लिखित प्राधिकरण के ट्रेन आगे बढ़ सकती है।"
