Question,Option A,Option B,Option C,Option D,Correct Answer,Detailed Answer
"In case of defective departure signals working as manual stop signals in ABS, what rule numbers are referred for authority?/ABS में यदि प्रस्थान सिग्नल खराब हो और मैन्युअल स्टॉप सिग्नल की तरह काम कर रहे हों, तो प्राधिकृति के लिए किन नियम संख्याओं का उल्लेख किया जाता है?",GR 9.02.01 and GR 9.07.01,"GR 9.14, USR 9.12(5), SR 3.75.01(ii), SR 3.75.04(a)",GR 6.03,SR 9.12/2(A) only,"GR 9.14, USR 9.12(5), SR 3.75.01(ii), SR 3.75.04(a)","For manual stop or defective semi-automatic reception/departure signals, GR 9.14, USR 9.12(5), SR 3.75.01(ii), SR 3.75.04(a) are referred, and authority issued is T/369(3b).(मैन्युअल स्टॉप या खराब अर्द्ध-स्वचालित आगमन/प्रस्थान सिग्नलों के मामले में, GR 9.14, USR 9.12(5), SR 3.75.01(ii), और SR 3.75.04(a) का उल्लेख किया जाता है, और जो प्राधिकृति जारी की जाती है वह होती है T/369(3b))"
What is the minimum requirement for passing level crossings during pilot working in ABS section?/ABS सेक्शन में पायलट वर्किंग के दौरान लेवल क्रॉसिंग पार करने के लिए न्यूनतम आवश्यकता क्या होती है?,Ensure Road traffic is moving,Ensure crossing is closed & protected by gateman with PHS,Pass freely without checking,Whistle and proceed,Ensure crossing is closed & protected by gateman with PHS,"Before passing any level crossing under pilot or authority, LP must ensure it’s properly closed for road traffic and PHS is shown.(पायलट या किसी लिखित प्राधिकृति के तहत किसी भी लेवल क्रॉसिंग को पार करने से पहले, लोको पायलट को यह सुनिश्चित करना चाहिए कि फाटक सड़क यातायात के लिए ठीक से बंद है और पीएचएस (पायलट हैंड सिग्नल) दिखाया गया है।)"
"When an Automatic signal is at 'ON' and aspect does not change, how should train proceed at night?/जब कोई ऑटोमैटिक सिग्नल 'ON' पर हो और उसका रंग (aspect) न बदले, तो रात में ट्रेन को कैसे आगे बढ़ना चाहिए?",Immediately pass at 10 kmph,Wait 2 minutes then pass at 10 kmph,Wait 1 minute and pass at 25 kmph,Wait 2 minutes then pass at 25 kmph,Wait 2 minutes then pass at 10 kmph,"SR 9.12/1 and GR 9.02.01 state that during night, the LP must wait 2 minutes and then proceed cautiously at 10 kmph if signal aspect doesn’t change.(SR 9.12/1 और GR 9.02.01 के अनुसार, रात के समय यदि सिग्नल की स्थिति नहीं बदलती है, तो लोको पायलट को 2 मिनट तक प्रतीक्षा करनी चाहिए और उसके बाद 10 किलोमीटर प्रति घंटे की गति से सावधानीपूर्वक आगे बढ़ना चाहिए।)"
"In case of failure of signals with no communication in double line, what must be done before entering tunnels or bridges?/दोहरी लाइन में सिग्नल फेल हो जाएं और संचार उपलब्ध न हो, तो सुरंग या पुल में प्रवेश करने से पहले क्या किया जाना चाहिए?",Proceed directly,Inform SM only,Whistle frequently and ensure they are clear,Stop and reverse,Whistle frequently and ensure they are clear,"As per SR 9.12/2(B), before entering tunnels/bridges, LP must ensure obstruction free path, whistle frequently due to communication failure.(SR 9.12/2(B) के अनुसार, सुरंगों (tunnels) या पुलों (bridges) में प्रवेश करने से पहले लोको पायलट को यह सुनिश्चित करना चाहिए कि रास्ता अवरोध मुक्त हो, और संचार फेल होने की स्थिति में बार‑बार हॉर्न (whistle) बजाना चाहिए।)"
"What protection is mentioned when operating with T/B 912 under total communication failure?/पूरी तरह संचार फेल होने की स्थिति में, T/B 912 का उपयोग करते समय कौन-सी सुरक्षा का उल्लेख किया गया है?",250M-150M-10M,250M-250M-10M,600M-600M-10M-10M,250M only,250M-250M-10M,"250M-250M-10M protection pattern ensures rear and front protection and is mandatory in case of no communication and reliance on written authorities like T/B 912.(250M‑250M‑10M सुरक्षा पैटर्न पिछले और अगले हिस्से की सुरक्षा सुनिश्चित करता है और जब संचार उपलब्ध न हो तथा T/B 912 जैसी लिखित प्राधिकृतियों पर निर्भर किया जाए, तो यह अनिवार्य होता है।)"
"What document is used for reception of a wrong-line train at the next station under TSL working?/TSL व्यवस्था में, अगले स्टेशन पर गलत लाइन से आने वाली ट्रेन को प्राप्त करने के लिए कौन-सा दस्तावेज़ उपयोग किया जाता है?",T/D 912,T/F 602,T/510,T/B 409,T/510,"During TSL (wrong-line working), once a train reaches reception signal, it is formally admitted using T/510 authority as per SR 9.12/3.(TSL (गलत लाइन पर संचालन) के दौरान, जब ट्रेन रिसेप्शन सिग्नल तक पहुंचती है, तो उसे औपचारिक रूप से T/510 प्राधिकृति के माध्यम से प्रवेश दिया जाता है, जैसा कि SR 9.12/3 में उल्लेख किया गया है।)"
"During TSL in wrong direction, what is the maximum speed for the first train?/TSL में गलत दिशा में चलते समय, पहली ट्रेन की अधिकतम गति क्या होनी चाहिए?",10 kmph,15 kmph,25 kmph,30 kmph,25 kmph,"As per SR 9.12/3, whether it's wrong or right direction, the first train must not exceed 25 kmph, subject to all other speed restrictions.(SR 9.12/3 के अनुसार, चाहे दिशा सही हो या गलत, पहली ट्रेन की गति 25 किलोमीटर प्रति घंटा से अधिक नहीं होनी चाहिए, साथ ही अन्य सभी गति प्रतिबंधों का पालन करना अनिवार्य है।)"
"When opening communication under SR 9.12/4, which authority accompanies return journey?/SR 9.12/4 के अंतर्गत संचार शुरू करते समय, वापसी यात्रा के साथ कौन-सी प्राधिकृति जाती है?",T/B 602 + T/A 912 only,T/F 602,T/G or T/H 602 + T/A 912 + T/B 409 + T/F 912,T/510,T/G or T/H 602 + T/A 912 + T/B 409 + T/F 912,"The return journey after opening communication in SR 9.12/4 requires this combination for complete and safe movement over single line under ABS.(SR 9.12/4 में संचार स्थापित होने के बाद वापसी यात्रा के लिए, स्वचालित ब्लॉक प्रणाली (ABS) के अंतर्गत सिंगल लाइन पर पूर्ण और सुरक्षित परिचालन हेतु यह प्राधिकृतियों का संयोजन आवश्यक होता है।)"
What is the interval between two trains after communication is opened in SR 9.12/4?/SR 9.12/4 में संचार शुरू होने के बाद दो ट्रेनों के बीच का अंतराल कितना होना चाहिए?,10 minutes,20 minutes,25 minutes,30 minutes,25 minutes,"Even after communication is established, as per SR 9.12/4, the minimum gap of 25 minutes must be observed to ensure spacing and safe train separation.(संचार स्थापित हो जाने के बाद भी, SR 9.12/4 के अनुसार, ट्रेनों के बीच न्यूनतम 25 मिनट का अंतराल बनाए रखना अनिवार्य है ताकि सुरक्षित दूरी और संचालन सुनिश्चित किया जा सके।)"
"Under which rule is single line working due to obstruction on one line with no communication and signal failure governed?/जब एक लाइन पर रुकावट के कारण सिंगल लाइन व्यवस्था की जाती है और संचार व सिग्नल दोनों फेल हों, तो यह किस नियम के अंतर्गत आता है?",SR 9.12/4,SR 9.12/5,SR 9.12/6,GR 6.03,SR 9.12/5,"SR 9.12/5 specifically deals with TSL on double line when one line is obstructed and there is no communication and failed signal — critical for ABS sections.(SR 9.12/5 विशेष रूप से तब लागू होता है जब दोहरी लाइन पर एक लाइन अवरुद्ध हो, संचार उपलब्ध न हो और सिग्नल फेल हो — यह स्वचालित ब्लॉक प्रणाली (ABS) सेक्शनों के लिए अत्यंत महत्वपूर्ण स्थिति होती है।)"
What is the significance of T/369(3b) authority in Automatic Block System?/Automatic Block System में T/369(3b) प्राधिकृति का क्या महत्व होता है?,Issued only in single line,Used for departing train from platform,Allows passage over defective reception/manual stop signals,Used only in yard shunting,Allows passage over defective reception/manual stop signals,"T/369(3b) is a written authority issued when semi-automatic or manual stop signals are defective in ABS or IBS sections as per GR 9.14 and SR 3.75.04(a).(T/369(3b) एक लिखित प्राधिकृति (written authority) है जो तब जारी की जाती है जब ABS या IBS सेक्शन में कोई अर्द्ध‑स्वचालित (semi-automatic) या मैन्युअल स्टॉप सिग्नल खराब होता है, जैसा कि GR 9.14 और SR 3.75.04(a) में उल्लेख किया गया है।)"
"In TSL working on double line, what is the condition for reception of a right-line train at the next station?/दोहरी लाइन पर TSL व्यवस्था में, अगले स्टेशन पर सही लाइन से आने वाली ट्रेन को प्राप्त करने की क्या शर्त होती है?",Via T/510 only,Via lowering of reception signal/calling ON or T/369(3b),No authority required,Through verbal communication,Via lowering of reception signal/calling ON or T/369(3b),"As per SR 9.12/3, when right-line is used, normal signal aspect or T/369(3b) allows entry into the station. Departure signals are kept in manual ON position.(SR 9.12/3 के अनुसार, जब सही लाइन (right-line) का उपयोग किया जाता है, तो सामान्य सिग्नल स्थिति (normal signal aspect) या T/369(3b) द्वारा स्टेशन में प्रवेश की अनुमति दी जाती है। प्रस्थान सिग्नल (departure signals) को मैन्युअल रूप से ON स्थिति में रखा जाता है।)"
"When train is piloted out with hand signal, what is the maximum speed over facing point allowed?/जब ट्रेन को हाथ के सिग्नल से बाहर निकाला जाता है, तो सामने वाले पॉइंट (facing point) पर अधिकतम गति क्या होनी चाहिए?",25 kmph,10 kmph,15 kmph,30 kmph,15 kmph,"No train should run above 15 kmph while passing over facing points under any pilot authority to ensure safety and point setting.(किसी भी पायलट प्राधिकृति के अंतर्गत चलते समय, सुरक्षा और पॉइंट सेटिंग सुनिश्चित करने के लिए कोई भी ट्रेन फेसिंग पॉइंट्स को पार करते समय 15 किलोमीटर प्रति घंटे से अधिक गति से नहीं चलनी चाहिए।)"
"What action must the LP take before passing facing/trailing points while being piloted over defective signals?/जब लोको पायलट को खराब सिग्नलों पर पायलट के साथ ले जाया जा रहा हो, तो उसे सामने वाले या पीछे वाले पॉइंट्स को पार करने से पहले क्या करना चाहिए?",Ignore if signal is defective,Be cautious and check point settings,Proceed without slowing,Sound horn only,Be cautious and check point settings,"Under GR 9.14 and SR 3.75.04(a), LP must carefully observe point positions and negotiate them with caution while under pilot or defective signal conditions.(GR 9.14 और SR 3.75.04(a) के अनुसार, जब लोको पायलट पायलट के साथ या खराब सिग्नल की स्थिति में चल रहा हो, तो उसे पॉइंट्स की स्थिति को सावधानीपूर्वक देखना चाहिए और उन्हें पूरी सतर्कता के साथ पार करना चाहिए।)"
"In single line section under ABS, when communication is lost, which protection must be ensured?/स्वचालित ब्लॉक प्रणाली वाले सिंगल लाइन सेक्शन में, जब संचार खत्म हो जाए, तो कौन-सी सुरक्षा सुनिश्चित की जानी चाहिए?",100M-100M-10M,600M-600M-10M-10M,200M-150M-10M,None,250M-250M-10M,"As per SR 9.12/4, for single line working under ABS with total communication failure, full protection with 250M in both directions and 10M detonators must be provided.(SR 9.12/4 के अनुसार, स्वचालित ब्लॉक प्रणाली (ABS) के अंतर्गत सिंगल लाइन कार्य व्यवस्था में यदि संचार पूरी तरह से फेल हो जाए, तो दोनों दिशाओं में 250 मीटर की दूरी पर पूर्ण सुरक्षा और 10 मीटर पर डेटोनेटर (विस्फोटक संकेतक) लगाए जाना अनिवार्य होता है।)"
What is the purpose of flasher light ON during pilot movement in failure condition?/फेल्योर की स्थिति में पायलट के साथ ट्रेन चलने के दौरान फ्लैशर लाइट ऑन रखने का उद्देश्य क्या होता है?,Decoration,Warning to gangmen and other trains,Lighting path ahead,Not necessary,Warning to gangmen and other trains,"LP switches on the flasher light during pilot working in failure to alert gangmen, gatemen, and others on track about abnormal working or wrong direction train.(पायलट कार्य प्रणाली (pilot working) के दौरान फेल्योर की स्थिति में लोको पायलट फ्लैशर लाइट चालू करता है ताकि ट्रैक पर मौजूद गैंगमैन, गेटमैन और अन्य लोगों को असामान्य संचालन या गलत दिशा में आ रही ट्रेन की जानकारी मिल सके।)"
"Which authority is given for working train back after opening communication in SR 9.12/5?/SR 9.12/5 में संचार शुरू होने के बाद, ट्रेन को वापस चलाने के लिए कौन-सी प्राधिकृति दी जाती है?",T/B 912,T/F 602,T/F 912,T/H or T/G 602 + T/A 912 + T/B 409 + T/F 602,T/H or T/G 602 + T/A 912 + T/B 409 + T/F 602,"As per SR 9.12/5, when single line working is done on double line due to obstruction, return train after communication needs T/H or T/G 602 + T/A 912 + T/B 409 + T/F 602 authorities.(SR 9.12/5 के अनुसार, जब रुकावट के कारण दोहरी लाइन पर सिंगल लाइन व्यवस्था लागू होती है और संचार उपलब्ध हो जाता है, तो वापसी ट्रेन के लिए T/H या T/G 602, T/A 912, T/B 409 तथा T/F 602 प्राधिकृतियाँ आवश्यक होती हैं।)"
